t,dt,cost,slope
0.01000,0.01000,1382.11255,1.00000
0.02000,0.01000,166.80790,1.00000
0.03000,0.01000,2782.25327,1.00000
0.04000,0.01000,316.42914,1.00000
0.05000,0.01000,297.49408,1.00000
0.06000,0.01000,1071.08560,1.00000
0.07000,0.01000,467.41793,1.00000
0.08000,0.01000,1039.41970,1.00000
0.09000,0.01000,369.07366,1.00000
0.10000,0.01000,414.74262,1.00000
0.11000,0.01000,259.69553,1.00000
0.12000,0.01000,293.94200,1.00000
0.13000,0.01000,830.55601,1.00000
0.14000,0.01000,631.00133,1.00000
0.15000,0.01000,418.42312,1.00000
0.16000,0.01000,208.90104,1.00000
0.17000,0.01000,53.10900,1.00000
0.18000,0.01000,53.16267,1.00000
0.19000,0.01000,88.99933,1.00000
0.20000,0.01000,53.02116,1.00000
0.21000,0.01000,88.23675,1.00000
0.22000,0.01000,106.16051,1.00000
0.23000,0.01000,88.21712,1.00000
0.24000,0.01000,139.87952,1.00000
0.25000,0.01000,208.83417,1.00000
0.26000,0.01000,330.72725,1.00000
0.27000,0.01000,312.44614,1.00000
0.28000,0.01000,242.96146,1.00000
0.29000,0.01000,88.31091,1.00000
0.30000,0.01000,105.44718,-34.34304
0.31010,0.01010,70.18005,-30.10211
0.32030,0.01020,86.57074,-33.55312
0.33060,0.01030,85.79106,-18.93590
0.34101,0.01041,68.41777,-20.23669
0.35152,0.01051,83.94372,-21.45755
0.36214,0.01062,66.83923,-17.35863
0.37286,0.01072,82.29935,-16.87637
0.38369,0.01083,65.49790,-12.38630
0.39462,0.01094,80.94740,-11.98631
0.40567,0.01105,64.16873,-11.25141
0.41683,0.01116,79.11996,-11.33335
0.42809,0.01127,78.28843,-11.10413
0.43947,0.01138,77.47385,-7.08343
0.45097,0.01149,107.27044,-3.91165
0.46258,0.01161,209.40089,-1.31400
0.47430,0.01173,60.47863,-1.02911
0.48615,0.01184,59.90239,-1.75633
0.49811,0.01196,74.03447,-2.39503
0.51019,0.01208,172.78762,-2.15875
0.52239,0.01220,86.36615,-2.76543
0.53472,0.01232,71.82038,-3.23793
0.54716,0.01245,70.83529,-3.58586
0.55973,0.01257,70.20431,-4.04590
0.57243,0.01270,69.50647,-4.14613
0.58526,0.01282,82.16220,-3.65785
0.59821,0.01295,81.28242,-2.27824
0.61129,0.01308,80.71317,-0.91739
0.62450,0.01321,79.75428,0.06117
0.63758,0.01308,80.64564,0.05154
0.65053,0.01295,81.71852,0.17043
0.66336,0.01282,82.26053,0.06015
0.67605,0.01269,83.11965,0.06308
0.68861,0.01257,83.88914,0.06713
0.70105,0.01244,85.27086,-0.03888
0.71362,0.01256,111.34508,0.12291
0.72605,0.01244,98.65409,0.07268
0.73837,0.01231,71.62554,-0.05947
0.75081,0.01244,84.95499,-0.21675
0.76337,0.01256,70.11695,-0.37187
0.77605,0.01269,69.55533,-0.64150
0.78887,0.01281,68.75538,-0.81558
0.80181,0.01294,68.11719,-0.99490
0.81488,0.01307,67.00332,-1.18250
0.82809,0.01320,79.46390,-1.07956
0.84142,0.01333,66.09129,-0.34617
0.85489,0.01347,78.16575,-0.49816
0.86849,0.01360,77.72908,-0.66482
0.88223,0.01374,76.77284,-0.74812
0.89610,0.01388,75.94902,-0.15689
0.91012,0.01401,62.85469,-0.20307
0.92427,0.01415,74.51758,-0.26385
0.93857,0.01430,61.85647,-0.41432
0.95301,0.01444,76.34654,-0.47165
0.96759,0.01458,73.72262,-0.55346
0.98232,0.01473,76.97001,-0.52892
0.99720,0.01488,73.34240,-0.53154
1.01222,0.01503,71.41464,-0.54698
1.02740,0.01518,69.28535,-0.57864
1.04273,0.01533,68.62179,-0.60378
1.05821,0.01548,67.96360,-0.62041
1.07384,0.01564,67.30912,-0.63141
1.08964,0.01579,66.56862,-0.63460
1.10559,0.01595,65.89430,-0.62948
1.12169,0.01611,65.21414,-0.61121
1.13797,0.01627,64.62580,-0.40799
1.15440,0.01643,63.93497,-0.27596
1.17100,0.01660,63.35940,-0.31860
1.18776,0.01676,62.74878,-0.26957
1.20469,0.01693,62.16623,-0.31676
1.22179,0.01710,61.58141,-0.36805
1.23906,0.01727,61.06958,-0.42462
1.25651,0.01744,60.31284,-0.48705
1.27412,0.01762,59.77844,-0.55713
1.29192,0.01779,58.85939,-0.54400
1.30989,0.01797,58.53025,-0.61604
1.32804,0.01815,57.96674,-0.60509
1.34638,0.01833,57.31515,-0.59236
1.36490,0.01852,56.75335,-0.58077
1.38360,0.01870,56.28430,-0.56898
1.40249,0.01889,55.69740,-0.64253
