t,dt,cost,slope,err
0.01000,0.01000,1495.43343,1.00000,0.52069
0.02000,0.01000,194.82355,1.00000,0.52063
0.03000,0.01000,1911.34773,1.00000,0.52040
0.04000,0.01000,122.97405,1.00000,0.52039
0.05000,0.01000,105.78694,1.00000,0.52039
0.06000,0.01000,122.97863,1.00000,0.52039
0.07000,0.01000,363.70070,1.00000,0.52039
0.08000,0.01000,143.65259,1.00000,0.52039
0.09000,0.01000,122.97604,1.00000,0.52038
0.10000,0.01000,208.89647,1.00000,0.52037
0.11000,0.01000,191.81120,1.00000,0.52037
0.12000,0.01000,174.57574,1.00000,0.52036
0.13000,0.01000,140.19763,1.00000,0.52036
0.14000,0.01000,123.01600,1.00000,0.52036
0.15000,0.01000,105.79928,1.00000,0.52036
0.16000,0.01000,105.76601,1.00000,0.52036
0.17000,0.01000,106.08987,1.00000,0.52036
0.18000,0.01000,105.81308,1.00000,0.52036
0.19000,0.01000,105.80050,1.00000,0.52036
0.20000,0.01000,106.17652,1.00000,0.52037
0.21000,0.01000,107.11514,1.00000,0.52037
0.22000,0.01000,114.52006,1.00000,0.52038
0.23000,0.01000,106.90830,1.00000,0.52039
0.24000,0.01000,299.10341,1.00000,0.52042
0.25000,0.01000,266.66196,1.00000,0.52045
0.26000,0.01000,109.06375,1.00000,0.52045
0.27000,0.01000,107.00281,1.00000,0.52046
0.28000,0.01000,108.76948,1.00000,0.52046
0.29000,0.01000,111.54747,1.00000,0.52046
0.30000,0.01000,107.12564,-19.91014,0.52046
0.31010,0.01010,105.78384,-12.24934,0.52046
0.32030,0.01020,105.23584,-12.94349,0.52046
0.33060,0.01030,104.02381,-1.76750,0.52045
0.34101,0.01041,118.47712,-2.02773,0.52045
0.35152,0.01051,120.32191,-2.39258,0.52044
0.36214,0.01062,117.41612,-2.66409,0.52044
0.37286,0.01072,115.83764,-1.28315,0.52044
0.38369,0.01083,115.06961,-1.31445,0.52044
0.39462,0.01094,114.03518,-1.48231,0.52044
0.40567,0.01105,111.47574,-1.07015,0.52044
0.41683,0.01116,110.56577,-0.73835,0.52044
0.42809,0.01127,109.21832,-0.49795,0.52043
0.43947,0.01138,108.10268,-0.47276,0.52043
0.45097,0.01149,107.08854,-0.55832,0.52041
0.46258,0.01161,91.20080,-0.85804,0.52040
0.47430,0.01173,90.56172,-1.15562,0.52039
0.48615,0.01184,89.48415,-1.45114,0.52038
0.49811,0.01196,88.50458,-1.74751,0.52038
0.51019,0.01208,88.92242,-2.03357,0.52037
0.52239,0.01220,100.88099,-2.23237,0.52036
0.53472,0.01232,99.92201,-2.42853,0.52036
0.54716,0.01245,98.87164,-2.57720,0.52036
