n,t,i,p,u,v,w
1,0.0,1,5.278386043105057e-05,0.0,0.0,0.0
2,0.0,1,0.015773542685988663,0.025716501621306252,0.025716501621172613,0.009558176530220256
3,0.0,2,0.020596393477781992,0.01221826654399942,0.01221826654388837,0.004607868455187927
4,0.0,3,0.021019489660051335,0.006064884077214028,0.006064884077319707,0.0023457961363752542
5,0.0,4,0.020112413689536802,0.0032660952980938106,0.003266095297811202,0.001302462948622475
6,0.0,5,0.01909570548616035,0.0019101473308024192,0.0019101473489320754,0.0007832907509764912
7,0.0,1,0.028900151329032592,0.015996825104187103,0.015996825082587433,0.0058951171252258445
8,0.0,2,0.03073748531585664,0.006819200522987785,0.006819199462501102,0.0025787781521676373
9,0.0,3,0.03034153790658503,0.0032503113427744404,0.0032503148236450027,0.0012902091942210456
10,0.0,4,0.029716732995631174,0.0017337611780692869,0.0017337747771983402,0.0007360303247779712
11,0.0,1,0.024431297506837507,0.006578896113317437,0.0065789047708975906,0.0024618838194593925
12,0.0,2,0.02299019563722601,0.002357297122513234,0.0023572946766264456,0.0009349853337168194
13,0.0,3,0.022530192396703088,0.001048154736514123,0.0010481472243937325,0.00045278542718644814
14,0.0,1,0.03653918797424365,0.013163827473144379,0.013163751360159773,0.0045439680110990035
15,0.0,2,0.03930884576034202,0.004013871619628976,0.004013846304721917,0.001477306668604489
16,0.0,3,0.03911960274388091,0.001625947792798114,0.0016259219710352457,0.0007298236590712094
17,0.0,1,0.03909642752589791,1.4898841773544858e-06,1.4897486387561268e-06,8.575457685629999e-07
18,0.01,1,0.039105682295294084,4.955355727180153e-07,4.955012783222556e-07,3.5711998930736647e-07
19,0.01,1,0.055851604171539226,0.011828568944350071,0.011828431418632247,0.004107607494851889
20,0.01,2,0.056728955350016874,0.0034354051669312742,0.00343533052202177,0.0013513793152382721
21,0.01,3,0.056075661939539945,0.0013481506699652278,0.001348040320521571,0.0006546811980011492
22,0.01,1,0.06745805863953531,0.00700357782470257,0.007003489742537864,0.0024676426439513887
23,0.01,2,0.06802370561559766,0.001966357607404253,0.001966428459364798,0.000913381559888839
24,0.01,1,0.061627938672694706,0.002929097182421161,0.0029290979256563826,0.0010536955554032717
25,0.01,2,0.06121541086704956,0.0008259589873032963,0.0008260146219632305,0.0003598779047989238
26,0.01,1,0.07763023656719827,0.005413858353952755,0.005414052391917956,0.0018178022098368567
27,0.01,2,0.07903811036792185,0.001237767367265792,0.0012389424693207917,0.0006458117111235416
28,0.01,1,0.07895911776115216,1.4424703283335996e-06,1.4423887028904017e-06,8.192360087312743e-07
29,0.02,1,0.07884209725465213,6.708049711942214e-07,6.708212054082092e-07,4.0144114679177194e-07
30,0.02,1,0.09642570169565469,0.004953684283340669,0.004955077192800686,0.0017735073160882447
31,0.02,2,0.09613789414566566,0.001202508524530206,0.0012042596542909162,0.0006722950780691927
32,0.02,1,0.10828174038903682,0.003135421044866696,0.003137446459229255,0.0013525259800395862
33,0.02,2,0.10797713759929567,0.0008686295073267318,0.0008696675928843017,0.0006325376415772127
34,0.02,3,0.10770312156809325,0.0004173634640633237,0.00041676844808020156,0.0003727915381283222
35,0.02,4,0.10758004446044642,0.00027926366520319144,0.00027850919959405003,0.0002521330039397949
36,0.02,5,0.10758245253087526,0.00022514228662416037,0.00022505205460446125,0.00020165966773145116
37,0.02,6,0.10770334160310054,0.00020629396214905704,0.00020690173803437084,0.00018436580326619737
38,0.02,7,0.10785095681062958,0.0001986236623056213,0.00019970087351100022,0.0001773118990982297
39,0.02,8,0.1079663341448163,0.00019246315785791468,0.00019362503791908286,0.0001709694484784147
40,0.02,9,0.1080836626424008,0.0001857974303618724,0.0001868122118185394,0.0001639360777486637
41,0.02,10,0.1081513024017763,0.00017872217644039935,0.00017953203012882117,0.000157126796263846
42,0.02,11,0.1081255383571772,0.00017148382561034143,0.00017215129132423565,0.000151115468933321
43,0.02,12,0.10806599675532348,0.0001646082209294448,0.00016511790997809922,0.00014619251222674608
44,0.02,13,0.1079902818041066,0.00015841389157211306,0.00015879332712992052,0.00014241780381541886
45,0.02,14,0.10789043876803583,0.00015325664050799538,0.00015355354403360258,0.00013975015079368075
46,0.02,15,0.10780868535493636,0.000149402617202576,0.00014969469108130367,0.00013805471101054957
47,0.02,16,0.10776257322991767,0.00014661889414029192,0.00014677842759122176,0.0001370844015559632
48,0.02,17,0.10776512588495059,0.00014408404364440954,0.0001440797213393263,0.00013608694810625762
