n,t,i,p,u,v,w
1,0.0,1,5.272277019581936e-05,0.0,0.0,0.0
2,0.0,1,0.01592367760188575,0.025507076792261607,0.02550707672268941,0.00948197617462585
3,0.0,2,0.0207105150169741,0.012037513984773655,0.012037514148617947,0.0045430171141558635
4,0.0,3,0.02107495938818635,0.005956783389473027,0.005956783735283586,0.0023077906733918133
5,0.0,4,0.020130261117945324,0.003212151223168792,0.0032121516587528937,0.001283789315012701
6,0.0,5,0.019097629827192358,0.0018840690958900482,0.0018840692152996494,0.0007742744689247524
7,0.0,1,0.028981866117846634,0.01582584683087944,0.01582584669292286,0.0058330341170348575
8,0.0,2,0.03079418583332999,0.006707378110992592,0.006707381480683921,0.0025398197474442758
9,0.0,3,0.030368570328420275,0.003197984383229611,0.0031979936743282617,0.001273158606729528
10,0.0,4,0.029738493367822253,0.0017108795118905265,0.0017109289073289618,0.0007294510387948063
11,0.0,1,0.02443674416207165,0.006510873149297367,0.0065108680188318115,0.002437492857321556
12,0.0,2,0.023004487919662125,0.002317901545029181,0.0023178765568931553,0.0009213795039714817
13,0.0,3,0.022548690243370556,0.0010348423047581066,0.0010347923891566326,0.0004482362944736714
14,0.0,1,0.0366483472033362,0.012977450642314467,0.01297753066551721,0.0044788727991994645
15,0.0,2,0.0393895272878117,0.003927573768390463,0.003927736598215044,0.0014536146742499846
16,0.0,3,0.03918027340296229,0.0016034557686265185,0.0016036312475017306,0.0007286814781760119
17,0.0,1,0.0391495635981256,1.4858351860248354e-06,1.485605421293663e-06,8.586426052116675e-07
18,0.01,1,0.03915706409554905,4.964121233429652e-07,4.962964546823445e-07,3.576024143829401e-07
19,0.01,1,0.05599529167123375,0.01164006926164926,0.011640248942861595,0.004045116195908923
20,0.01,2,0.05681692631961254,0.0033804307866087888,0.0033805187333628135,0.0013383198289864684
21,0.01,3,0.05616600999246333,0.0013341502171303873,0.001333967617579338,0.0006534222248903733
22,0.01,1,0.06762974480774198,0.006879740727585233,0.006880182979299218,0.002432038931430793
23,0.01,2,0.06813019649631488,0.0019407861903698086,0.001940442173831242,0.0009102929408999756
24,0.01,1,0.061675155944621994,0.0028773331976139046,0.00287708289850355,0.0010351571057425422
25,0.01,2,0.061272693744313995,0.0008156539879998128,0.0008154582692261173,0.00035496808054747553
26,0.01,1,0.07775657930811723,0.005291504126452346,0.005292931753855201,0.001780713430456546
27,0.01,2,0.07910467749159618,0.0012214242154896138,0.0012209413479696892,0.0006375933622602027
28,0.01,1,0.07900120004976342,1.43101172810008e-06,1.4303830297630613e-06,8.126207473243184e-07
29,0.02,1,0.0788720935214241,6.662962539803614e-07,6.659070369172449e-07,3.970676663969926e-07
30,0.02,1,0.09651922419246066,0.004865042272862556,0.00486638484741483,0.0017468226723644652
31,0.02,2,0.0961389573681566,0.0011916274212619947,0.0011910824777013863,0.0006647889477081159
32,0.02,1,0.10826096483468699,0.0030850728853788335,0.003085658227838737,0.001334129906152834
33,0.02,2,0.10790419969540424,0.0008607182816748472,0.0008594516928359041,0.0006243972714488325
34,0.02,3,0.10762622418665149,0.00041261612367139136,0.0004115675316704715,0.00036742598896067827
35,0.02,4,0.10749214783112604,0.00027519948593185146,0.0002746168193815362,0.000248336921552606
36,0.02,5,0.10750967579378747,0.00022200567493786398,0.000221713999708373,0.00019898386816284813
37,0.02,6,0.10766680828658075,0.00020420789063690608,0.00020412809793336076,0.00018258870984626016
38,0.02,7,0.10782062718588792,0.0001973703795254379,0.00019735284617715314,0.00017613767904724428
39,0.02,8,0.10796821283707465,0.000191405395250939,0.00019162880608660263,0.0001701128664726236
40,0.02,9,0.10812350880047762,0.00018477014095414287,0.00018526939788754648,0.0001634550870427251
41,0.02,10,0.10821583681825117,0.00017771695641712209,0.0001783721005218806,0.0001569658118920932
42,0.02,11,0.10820974225117122,0.00017062604934638833,0.00017139580994645658,0.0001510513204105337
43,0.02,12,0.10813872408866357,0.00016394762686670618,0.00016478588306877918,0.00014623104654541152
