n,t,i,p,u,v,w
1,0.0,1,5.2722770196517425e-05,0.0,0.0,0.0
2,0.0,1,0.015923677601818783,0.02550707679227524,0.025507076722706804,0.00948197617461172
3,0.0,2,0.020710515017079153,0.012037513984737442,0.012037514148602733,0.0045430171141418625
4,0.0,3,0.02107495938886839,0.005956783389427551,0.005956783735245573,0.0023077906733219803
5,0.0,4,0.020130261117630263,0.0032121512231426024,0.0032121516587816936,0.001283789315065731
6,0.0,5,0.019097629829035054,0.001884069095812667,0.0018840692152254208,0.0007742744688898523
7,0.0,1,0.028981866129746747,0.015825846830501762,0.015825846692756988,0.005833034116814298
8,0.0,2,0.030794172986912102,0.006707378116095724,0.006707381484181646,0.002539819755303384
9,0.0,3,0.03036824006657303,0.003197984255639159,0.0031979938490522435,0.0012731585266839926
10,0.0,4,0.02973806431841374,0.001710879656693968,0.0017109308671433363,0.0007294514181960909
11,0.0,1,0.024436754619032802,0.0065108737319235915,0.006510866745023794,0.002437493401390477
12,0.0,2,0.023003971503954227,0.0023179034189862845,0.002317874009983685,0.0009213794793485331
13,0.0,3,0.022548657830836462,0.0010348477578397005,0.001034790279103462,0.0004482297182304839
14,0.0,1,0.03665056875483257,0.012977438764849811,0.012977532868324084,0.004478892402754461
15,0.0,2,0.039392992936655574,0.003927572983238207,0.003927737374060031,0.0014536160819726609
16,0.0,3,0.03917938213160502,0.0016034767070504713,0.0016036427322737741,0.0007286601180366629
17,0.0,1,0.03915313514060035,1.4857462173511873e-06,1.4855788425921024e-06,8.585788513125392e-07
18,0.01,1,0.03916132732465718,4.963956293908728e-07,4.962897117580077e-07,3.575877989766084e-07
19,0.01,1,0.05599624348807662,0.011640373106791847,0.01164034981799521,0.00404512926964689
20,0.01,2,0.05681876855379043,0.003380553762866577,0.0033805765316144757,0.0013382436657770657
21,0.01,3,0.05616285976371089,0.0013339241297604205,0.001333918165519203,0.0006532900595906362
22,0.01,1,0.06761696099135502,0.0068801506706716005,0.006880290467427033,0.0024318785805665143
23,0.01,2,0.06810759912305574,0.0019403266188582774,0.0019404175892866792,0.0009099039052890037
24,0.01,1,0.0616592552901322,0.0028771966742937817,0.002877164519086454,0.0010351828357405132
