n,t,i,p,u,v,w
1,0.0,1,0.014437626398900357,0.025723222582336152,0.025723222582105833,0.009557640011889357
2,0.0,2,0.018860960746362062,0.012648341646233031,0.01264834164604028,0.0047566812303349686
3,0.0,3,0.019307957815715666,0.00640496700001347,0.0064049669999165304,0.0024524670763009884
4,0.0,4,0.018593182748490374,0.003394878308920885,0.003394878308906436,0.0013303903764306524
5,0.0,5,0.017802591493645464,0.0018916530451607678,0.0018916530446882074,0.0007682699693887313
6,0.0,1,0.025995313756184194,0.014747253647680527,0.014747253808030637,0.005395755352309496
7,0.0,2,0.027731162573469945,0.006393579695190715,0.006393581462522364,0.0023806433080520257
8,0.0,3,0.027596669267163594,0.0029632329052228634,0.002963235870878146,0.0011600031074979096
9,0.0,4,0.027209696316137948,0.0015235473078877638,0.0015235502675210119,0.0006688049602024764
10,0.0,1,0.03609106283080691,0.012861363206276104,0.01286134999381358,0.004857235618378093
11,0.0,2,0.037922421338906775,0.004838192817977996,0.004838230401510709,0.00184852120180897
12,0.0,3,0.03797999314045663,0.0019418896461768603,0.0019420133946085453,0.0007763073371714075
13,0.01,1,0.052650542973604796,0.01580795267731963,0.015807950116387238,0.005550500457298225
14,0.01,2,0.05518134099054429,0.005143684061813496,0.005143738822739119,0.0018822180639429778
15,0.01,3,0.05510057673802648,0.0019327381742072942,0.0019329831022495234,0.0008710714875760374
16,0.01,1,0.06430203106597426,0.009045712346030382,0.009045677322588683,0.0031254110101532552
17,0.01,2,0.06550989732993204,0.00276674094570117,0.002766965562644512,0.0011762313318161113
18,0.01,3,0.06541145127348089,0.0012364828474661557,0.0012371905748649677,0.000735564621706995
19,0.01,1,0.07498530842914139,0.007828633449377115,0.007828603833994419,0.0028653042186665856
20,0.01,2,0.07599180166290706,0.0020570923402146875,0.0020571786551788684,0.0009015771350709792
21,0.01,3,0.0759273791018829,0.0008795721571529395,0.0008801323253125825,0.0005517489666152335
22,0.02,1,0.09204706185967974,0.008532044513913444,0.00853080366526465,0.002786639300103578
23,0.02,2,0.09391037742069948,0.0018276691352779556,0.0018282387287078693,0.0008806105545270969
24,0.02,1,0.1048046545681821,0.0050502343338121964,0.005049146096441544,0.0018351988747896378
25,0.02,2,0.10578831079870775,0.001268760616599904,0.0012719446146051852,0.0008515583397615623
26,0.02,3,0.10593061812974594,0.0007497388389392704,0.0007533356102666554,0.0006115803035198051
27,0.02,4,0.10611259727314626,0.0006045355627229826,0.0006066684653295354,0.000498567095595349
28,0.02,5,0.10628615284379972,0.0005217290310646636,0.0005225473667940665,0.000444552171184384
29,0.02,6,0.10641257758880757,0.00048406280688271966,0.00048369313168598465,0.000417470813359691
30,0.02,7,0.10648902027523187,0.0004690020882848965,0.0004676531240693082,0.00039938004743210616
31,0.02,8,0.10654454552626075,0.000458537985237592,0.00045651537517666697,0.0003844914217439083
32,0.02,9,0.10662770929935757,0.0004463564761521313,0.0004441108493698642,0.00037289416571741746
33,0.02,10,0.10678462470501625,0.0004325822711366489,0.0004303468934432822,0.00036544069758354336
34,0.02,11,0.10695316199305492,0.00041920509455039027,0.0004172918837622762,0.0003624149086043934
35,0.02,12,0.10705439237141445,0.0004074760587789488,0.00040607848702630485,0.00036259727175801625
36,0.02,13,0.10709460954632498,0.00039664713209506663,0.0003957078465174652,0.00036283995856960206
37,0.02,14,0.1071815223450783,0.00038442215979844703,0.00038395056382638476,0.00035956383468178417
38,0.02,15,0.10736601544652873,0.00036986926896073264,0.0003694601383642778,0.000351637757067829
39,0.02,16,0.10760654475501218,0.0003535486034617514,0.00035284331965072053,0.00034054779068627336
40,0.02,17,0.10780694159520991,0.0003366939379124862,0.00033584922515866454,0.0003284777815937952
41,0.02,18,0.10792737141821121,0.0003207795996717075,0.0003199255596764899,0.000316503340165401
42,0.02,19,0.10798239226852623,0.00030594803767774797,0.0003055345441917979,0.0003048326595186996
43,0.02,20,0.10803066449875487,0.00029177929611581686,0.0002917591779867219,0.0002929557630375235
44,0.02,21,0.10808440301605798,0.00027782916099582274,0.00027798666482059905,0.0002807027036390985
45,0.02,22,0.1081147528147602,0.00026485348551781894,0.0002652086851583771,0.0002690199203764316
46,0.02,23,0.10813939276207345,0.00025326652493308526,0.0002541996696813023,0.00025872367472453165
47,0.02,24,0.10815418568411951,0.00024412205445439056,0.0002455725776306325,0.00025043487812857876
48,0.02,25,0.10814070129706684,0.0002368832728588462,0.0002388305860474692,0.00024403873788651447
49,0.02,26,0.1080996731982897,0.0002313708373765789,0.00023354944035350913,0.0002392611620257833
