n,t,i,p,u,v,w
1,0.0,1,0.014573810938459027,0.02552510404598418,0.02552510406142332,0.009485622041082534
2,0.0,2,0.01896376353925893,0.012471911430530707,0.01247191209845636,0.004693390322050364
3,0.0,3,0.01935744231380702,0.006293193939700521,0.006293194026088037,0.0024131006232552864
4,0.0,4,0.01860944932136636,0.0033339937693879483,0.0033339934653377453,0.001309568773429912
5,0.0,5,0.01780548209578355,0.001860649432158221,0.0018606494882193382,0.0007583653491700931
6,0.0,1,0.026061977341084928,0.014591563627571937,0.014591559927451106,0.005339215976103315
7,0.0,2,0.027771258206545947,0.006286646173434139,0.006286646476232802,0.0023437392655008887
8,0.0,3,0.027615596233452652,0.002909801677888359,0.0029098128889901626,0.001143749225141371
9,0.0,4,0.027222763800837504,0.0015022612709384173,0.0015022743943067258,0.000664577377885709
10,0.0,1,0.0361598790025475,0.012711678352685774,0.012711652290738507,0.0048029079200233
11,0.0,2,0.03796163320428034,0.0047502842732667855,0.004750305054796182,0.001817884200803653
12,0.0,3,0.03800836591390552,0.0019045970058310304,0.0019046082488810127,0.0007658847226810536
13,0.01,1,0.05278347754732999,0.015600164142936938,0.01560024332364868,0.005477215514823461
14,0.01,2,0.05524918062829892,0.005041704700491725,0.005041782204733803,0.001852793123065288
15,0.01,3,0.055125609649697094,0.001901335410138228,0.0019011989883391963,0.0008676703109098793
16,0.01,1,0.06438057672931999,0.008902524274930894,0.008902801674734003,0.003080618379795541
17,0.01,2,0.06552406627614442,0.002717014683340739,0.00271683775998597,0.0011682511850766378
18,0.01,3,0.06542553663039968,0.0012309516940693602,0.001230600562887757,0.0007364660947907825
19,0.01,1,0.07504196237914502,0.007703105837796636,0.007703190521362761,0.0028232725812284555
20,0.01,2,0.07598042495149106,0.0020230401199404727,0.002023020200055866,0.0008961963610945972
21,0.01,3,0.07593201710600057,0.0008799873690632778,0.0008807394584157579,0.0005517912486226925
22,0.02,1,0.09209615473111839,0.00838226029903351,0.008381791030299093,0.0027384406530025812
23,0.02,2,0.09388028238460736,0.0017960941177058358,0.001796212239087965,0.0008698265451035939
24,0.02,1,0.10478206106699642,0.004961886177062075,0.0049613846449565345,0.0018060674293850405
25,0.02,2,0.10572718453886577,0.001260490338540165,0.001259811622775528,0.0008384503756802299
26,0.02,3,0.10591900292631118,0.0007498776380029439,0.0007490246746735295,0.0006029581582195513
27,0.02,4,0.10614702119476141,0.0006028873798034946,0.0006025346135181285,0.0004955335511378515
28,0.02,5,0.10636249376401984,0.0005197391109392146,0.0005207285751612916,0.0004448693132775619
29,0.02,6,0.10652655627138334,0.00048299530028653707,0.00048469608806505244,0.00041917333950796504
30,0.02,7,0.10663684457741385,0.00046943323408761654,0.00047082924553077147,0.00040225536556679544
31,0.02,8,0.10670799431014881,0.00046083048070758357,0.0004621175339860903,0.0003895148315622489
32,0.02,9,0.1067653159765573,0.0004500994576649209,0.00045127396236436076,0.0003795746155979263
33,0.02,10,0.10684169921899517,0.0004375732643465063,0.00043901897661003243,0.0003737595625735547
34,0.02,11,0.10694358729181369,0.0004253055589760722,0.0004266045936591917,0.0003712334468974587
35,0.02,12,0.10702529256130457,0.00041372131160242505,0.00041478534846928406,0.0003704605972236166
36,0.02,13,0.10710538936333659,0.00040185146806654375,0.00040270037654395653,0.00036839288831181293
37,0.02,14,0.10725433275026863,0.0003879146230470379,0.0003888204880165535,0.0003625598612728686
38,0.02,15,0.10745920903366844,0.0003722819039660419,0.0003732098824133033,0.00035354040695658286
39,0.02,16,0.10767909650784664,0.000355155290937771,0.00035589372109243807,0.00034249992731613026
40,0.02,17,0.10786254740341877,0.00033765213555943827,0.0003382867047477532,0.00033013330142517
41,0.02,18,0.10796513227172645,0.0003214984690724609,0.00032227686257892905,0.0003180856683428407
42,0.02,19,0.10798926836130116,0.00030671259630031365,0.00030774077234841323,0.00030639522716058136
43,0.02,20,0.1080210372590257,0.00029261549957674274,0.0002937080040977083,0.0002943739404768825
44,0.02,21,0.1080868371932761,0.0002788280852747486,0.0002798213621183051,0.0002824818364864526
45,0.02,22,0.10812302473701056,0.00026612655196244146,0.00026697151859966805,0.000271585929752699
46,0.02,23,0.10813662660906125,0.00025591251091423096,0.000256347900610391,0.0002625097110882153
47,0.02,24,0.10815908075258687,0.0002472689227641138,0.0002473604548473135,0.0002541330937732149
48,0.02,25,0.10813974242221884,0.00024051693118235597,0.0002402789620454308,0.0002473383136245799
49,0.02,26,0.10809339654276656,0.00023533194871980468,0.0002351785168017101,0.00024181250901070264
50,0.02,27,0.10804080773488553,0.00023095505364450193,0.00023107804576258205,0.0002371565751880614
51,0.02,28,0.1079563241807633,0.00022733243617949645,0.00022765564359374468,0.00023266940189927207
52,0.02,29,0.10784431375849352,0.00022402543394353978,0.00022388574835054725,0.00022808945932674328
53,0.02,30,0.1076640448224431,0.0002204637704241856,0.00022025089383725377,0.00022338286932472754
54,0.02,31,0.10742718293473506,0.0002169342322444598,0.00021658121395446393,0.0002190878523366989
55,0.02,32,0.10721081160445745,0.00021244163445274008,0.0002123840296853796,0.00021406632356458502
56,0.02,33,0.10697487069791586,0.00020734609637345253,0.00020755965798052348,0.00020893085286170066
