pseudo-steps, tcurr,n,res,res_p,res_u,res_v,res_w,min,min_p,min_u,min_v,min_w,max,max_p,max_u,max_v,max_w
17,0.01,17,0.039100264704482586,0.03909642752589791,1.4898841773544858e-06,1.4897486387561268e-06,8.575457685629999e-07,0.00013227007998951472,0.00013227007998951472,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042
28,0.02,11,0.07896282185619212,0.07895911776115216,1.4424703283335996e-06,1.4423887028904017e-06,8.192360087312743e-07,7.822250828567254e-05,7.822250828567254e-05,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562
138,0.03,110,0.09890532889975656,0.09890298269496915,7.894910774332197e-07,7.908220198162627e-07,7.658916901611805e-07,4.577587627181238e-05,4.577587627181238e-05,0.0006858994135204518,0.0007251528348286116,0.0007566194882646193,0.015472184878874282,0.002701818038850187,0.01424472351757693,0.0141770949280082,0.015472184878874282
144,0.04,6,0.09466596913139785,0.09466443104457313,4.2845425788743715e-07,4.304719658033636e-07,6.791606010227158e-07,4.2976922080386515e-05,4.2976922080386515e-05,0.0006222112420837848,0.0006412080156852827,0.0006111685848925652,0.012880432431424955,0.001876994957622001,0.012595732184994834,0.012332713215663475,0.012880432431424955
150,0.05,6,0.09352411797248965,0.09352270398947664,3.0314786676535594e-07,3.036109933736067e-07,8.072241528742323e-07,3.916516862899599e-05,3.916516862899599e-05,0.0005821372631570038,0.0005843373337347231,0.00047901512217397396,0.011801406707844362,0.0014919253385788477,0.0112746245231655,0.01123888750899965,0.011801406707844362
156,0.060000000000000005,6,0.09860816904738727,0.0986067187291412,2.904482531797999e-07,2.907107128939431e-07,8.691592799861105e-07,3.689341094706734e-05,3.689341094706734e-05,0.0005365666458895614,0.0005546507860497599,0.00038408816204732834,0.011423233797888415,0.00125439802671286,0.010589173824523582,0.010939971029121932,0.011423233797888415
177,0.07,21,0.09756919220157378,0.0975683411511125,2.567292399084481e-07,2.5637212226339684e-07,3.379490991109455e-07,4.658000255248832e-05,4.658000255248832e-05,0.0008147419719886006,0.0007339107486490242,0.000534574272560248,0.01371222007428764,0.001514487057451668,0.013077035876396283,0.012240737721836582,0.01371222007428764
185,0.08,8,0.09782271961338235,0.0978218164383664,2.534616180916967e-07,2.5294832225585546e-07,3.967650755817371e-07,4.5331595783720464e-05,4.5331595783720464e-05,0.0006906171143146562,0.000654840797886143,0.0004561562573745886,0.012014585247657366,0.0012304164223765409,0.010716470922731279,0.010982342100452416,0.012014585247657366
192,0.09,7,0.09830246212374945,0.09830147637147868,2.296612699431045e-07,2.2697146566535814e-07,5.291195351634414e-07,4.109419152216469e-05,4.109419152216469e-05,0.0005982760658205532,0.00060751478266182,0.0004159809430535966,0.011721964712747394,0.001114753370426455,0.010569728323635489,0.0110456956117682,0.011721964712747394
204,0.09999999999999999,12,0.09749912771878971,0.09749828143631316,2.3207176686318628e-07,2.3079196182319449e-07,3.8341874787998166e-07,3.861520454329482e-05,3.861520454329482e-05,0.0005900161369233589,0.0006017731307869479,0.0005007792738936094,0.013371961816344891,0.0012662083695155135,0.011205019353264364,0.011214623511764969,0.013371961816344891
212,0.10999999999999999,8,0.09911878016257507,0.09911784826554339,2.4474441338629644e-07,2.432297247280354e-07,4.4392289357003844e-07,4.3644177780522126e-05,4.3644177780522126e-05,0.0004858786132085884,0.0005047340187585516,0.0004380269541662511,0.012120177406221308,0.0012123989841367115,0.010458142326626877,0.01025748423084806,0.012120177406221308
