pseudo-steps, tcurr,n,res,res_p,res_u,res_v,res_w,min,min_p,min_u,min_v,min_w,max,max_p,max_u,max_v,max_w
17,0.01,17,0.03915339368133813,0.0391495635981256,1.4858351860248354e-06,1.485605421293663e-06,8.586426052116675e-07,0.00013136264437270048,0.00013136264437270048,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042
28,0.02,11,0.0790048740652686,0.07900120004976342,1.43101172810008e-06,1.4303830297630613e-06,8.126207473243184e-07,8.252761314344925e-05,8.252761314344925e-05,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562
138,0.03,110,0.09931791872361011,0.09931553405806873,8.04139806757205e-07,8.072283335871217e-07,7.732974010363836e-07,4.559299799125551e-05,4.559299799125551e-05,0.0007169049021266727,0.0007028547201524821,0.0007483421501656274,0.014408308993308427,0.0021693259325771975,0.013824418194180203,0.014295705823999106,0.014408308993308427
145,0.04,7,0.0943046493159471,0.09430330179709803,4.1896727785583565e-07,4.1777028288077374e-07,5.107812883400404e-07,4.337906678222018e-05,4.337906678222018e-05,0.0006210489655146279,0.0005732436627031201,0.0005899880818129782,0.013377435213323272,0.0017692878877125977,0.013377435213323272,0.011819561543497337,0.011876279979920443
151,0.05,6,0.09224548556394749,0.09224399729508441,2.9544462732252914e-07,2.958833479571678e-07,8.969408877938202e-07,4.1544124960603396e-05,4.1544124960603396e-05,0.0005659662508112577,0.0005548742234146539,0.000469502206379274,0.01256414229220035,0.0015046027723023597,0.01256414229220035,0.010774892662422294,0.011195604563301837
158,0.060000000000000005,7,0.09700045593378567,0.09699923444820668,2.5102536072215943e-07,2.5076268265671025e-07,7.196975356027423e-07,3.927538147395051e-05,3.927538147395051e-05,0.0005360655009781128,0.000512485177195385,0.0003960702511551941,0.011111606680914708,0.0013186720638206973,0.010560922140015288,0.010396409016356167,0.011111606680914708
179,0.07,21,0.0970803079362638,0.09707921801178371,3.2978956173024154e-07,3.3061266693456523e-07,4.2952225141347327e-07,4.30672310863731e-05,4.30672310863731e-05,0.000694608728438133,0.0007126419489159078,0.0005933621409150034,0.014168073751108044,0.0015771965561769013,0.013106650289614972,0.013094706021773015,0.014168073751108044
187,0.08,8,0.09724342152870598,0.09724242801440039,2.7273257657059925e-07,2.7407808642021894e-07,4.4670364260925886e-07,4.371539506787877e-05,4.371539506787877e-05,0.0005975050678185958,0.0006071812548972304,0.0004821112135539408,0.012081354311437444,0.0012662968705016186,0.01122312340479126,0.011043098688066714,0.012081354311437444
194,0.09,7,0.09787066218312328,0.09786958235815243,2.3729633280910575e-07,2.3796279879108367e-07,6.045658392464648e-07,3.902959082809888e-05,3.902959082809888e-05,0.0005176138469100871,0.0005572432815805519,0.00041764907668014826,0.011544752260355621,0.0013061197203410127,0.010654911558989101,0.0107952076900283,0.011544752260355621
205,0.09999999999999999,11,0.09846348928832926,0.09846265285628791,2.1389038629852233e-07,2.1454388784998222e-07,4.079977671988144e-07,4.1663091651512935e-05,4.1663091651512935e-05,0.0005584599441486817,0.0005699312776419375,0.0004674584075720576,0.012638763547951069,0.0013267504995968995,0.01050172941794548,0.011301408506771393,0.012638763547951069
220,0.10999999999999999,15,0.09668733655193266,0.09668640954701661,2.678287821734411e-07,2.673271512178386e-07,3.918489826563911e-07,4.6212390271697735e-05,4.6212390271697735e-05,0.0006470718118070925,0.0006201330118724762,0.00048367581795823595,0.013908104436449957,0.0014752265158702055,0.011065844735377535,0.011527613477383212,0.013908104436449957
226,0.11999999999999998,6,0.0976078319331782,0.09760610957192276,4.774770556970689e-07,4.802557790020161e-07,7.646284207299057e-07,3.816187900794323e-05,3.816187900794323e-05,0.0005752884756403461,0.000556740332986443,0.00045548868168012564,0.012624483926567356,0.0013044520016956363,0.010393086987273136,0.01074291466504868,0.012624483926567356
234,0.12999999999999998,8,0.09887102049824015,0.0988699729228534,3.1208738106635986e-07,3.135268910601846e-07,4.2196111462254997e-07,3.337983917972943e-05,3.337983917972943e-05,0.00046956246780000113,0.0004557259886536585,0.0003975423376432973,0.012368990986197228,0.00116949942211297,0.010353868966714582,0.01028637871944885,0.012368990986197228
243,0.13999999999999999,9,0.0982803048799918,0.09827936416262638,3.058972745079376e-07,3.073377855472334e-07,3.274823053652713e-07,3.427720620698261e-05,3.427720620698261e-05,0.0004320742428855394,0.0004108609936140249,0.0004057896523979167,0.012548206250341625,0.001199884605829737,0.010452505823025973,0.01045055965104211,0.012548206250341625
249,0.15,6,0.09701130749419645,0.09700914024711862,8.012627567083768e-07,8.040919959345984e-07,5.618923251888433e-07,3.219329335526908e-05,3.219329335526908e-05,0.00039375226897834966,0.0003744204870667977,0.0003811193141381979,0.011896785687689522,0.0011614346257357237,0.01028711006965505,0.010242437802093652,0.011896785687689522
255,0.16,6,0.09423421240094594,0.09423199674903436,8.366336145058583e-07,8.408671783177949e-07,5.381511187560013e-07,3.1820689738521056e-05,3.1820689738521056e-05,0.0003744294557544067,0.0003516572647600626,0.0003579488307571149,0.011549072855446254,0.0010673202248839815,0.01048323490775874,0.010217718212807717,0.011549072855446254
261,0.17,6,0.08909253296550873,0.0890903343358052,8.404971022954464e-07,8.447204626851401e-07,5.134121385551831e-07,3.2715643964863504e-05,3.2715643964863504e-05,0.0003553971771327927,0.0003493318527010998,0.00035485569303840385,0.011368417865005124,0.0010272443673366302,0.010622801065448354,0.010330581182513017,0.011368417865005124
267,0.18000000000000002,6,0.08215543094039363,0.0821531568902094,8.815346801661254e-07,8.8602106934619e-07,5.064944347063603e-07,3.4665435092543944e-05,3.4665435092543944e-05,0.00034288956765682425,0.0003381350911329644,0.0003794558792870842,0.011460039069811004,0.001120955934228394,0.0104326944887,0.009999540481684504,0.011460039069811004
273,0.19000000000000003,6,0.07524337256617826,0.07524094261848137,9.529578898925914e-07,9.573862669692567e-07,5.196035400303149e-07,3.606135907613283e-05,3.606135907613283e-05,0.00032271635093670344,0.00032034795664172516,0.00035857254728575993,0.011550071428494738,0.0011403492118977978,0.010726113144974412,0.009842612365814341,0.011550071428494738
279,0.20000000000000004,6,0.07113955604920943,0.07113693259718545,1.0334524823600798e-06,1.0381856120345113e-06,5.518139295934701e-07,3.601472817209276e-05,3.601472817209276e-05,0.00031144174895149607,0.0003100824923660879,0.0003367728143948034,0.011522195933670907,0.0010971352320010312,0.01102778417631292,0.010221765999340885,0.011522195933670907
285,0.21000000000000005,6,0.07252167728997445,0.07251886383606741,1.1065087829416406e-06,1.1123171591676916e-06,5.946279649171548e-07,3.5927808504542826e-05,3.5927808504542826e-05,0.00029510081365219094,0.00029159769878317764,0.0003167050573926988,0.012072107650486212,0.0011507058448944792,0.010674401792706874,0.009966323322594563,0.012072107650486212
291,0.22000000000000006,6,0.0798471322398868,0.07984415671698605,1.1641789859220169e-06,1.171643377523084e-06,6.397005373009988e-07,3.584109861307592e-05,3.584109861307592e-05,0.00029315907645840675,0.00028363602053586194,0.00030655632884558817,0.012147944333051877,0.0011830693501367496,0.011063721290334887,0.009942270121199965,0.012147944333051877
297,0.23000000000000007,6,0.09088052094464943,0.09087742726076137,1.2017686678107889e-06,1.211367860968931e-06,6.80547359282353e-07,3.57545979914084e-05,3.57545979914084e-05,0.0002924515523215245,0.000282615880467972,0.00029673281358042164,0.012118625903164013,0.0011958405399564445,0.010678256241269052,0.009918274970952075,0.012118625903164013
313,0.24000000000000007,16,0.09956986633313239,0.09956829770383438,6.047838763274377e-07,6.079465582409629e-07,3.558988634427975e-07,5.310524744214735e-05,5.310524744214735e-05,0.00043216464663147294,0.0004155374999987388,0.00041544810414138015,0.01523861123781608,0.0015743366916300353,0.01103388171181493,0.011433456700580033,0.01523861123781608
326,0.25000000000000006,13,0.09827301002025386,0.09827204129566364,3.542756945500316e-07,3.5776224265363524e-07,2.5668665302918906e-07,5.1356778584919146e-05,5.1356778584919146e-05,0.0004176354484651131,0.00040062291186224045,0.0003909139921359594,0.012945726983893272,0.001465133179417747,0.010438283712426695,0.010942394378506307,0.012945726983893272
