pseudo-steps, tcurr,n,res,res_p,res_u,res_v,res_w,min,min_p,min_u,min_v,min_w,max,max_p,max_u,max_v,max_w
17,0.01,17,0.03914982508267279,0.03914599496502734,1.4858345359692772e-06,1.4856389636275286e-06,8.586441458534286e-07,0.00012790753119072703,0.00012790753119072703,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042
28,0.02,11,0.07901583969987486,0.07901216089705845,1.432018833714752e-06,1.4322281591860758e-06,8.145558235083393e-07,7.84135870540961e-05,7.84135870540961e-05,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562
137,0.03,109,0.09969318519344492,0.09969081101404859,8.010848542838106e-07,8.024998991661015e-07,7.705946428719247e-07,4.398373304463517e-05,4.398373304463517e-05,0.0007074942725843416,0.0006949564168893986,0.0007733622551998313,0.014383919317029953,0.0023431440308828654,0.01335908156729963,0.013864263811328506,0.014383919317029953
144,0.04,7,0.09456022970879736,0.09455889557188228,3.8889892589662526e-07,3.9020303399572093e-07,5.550349551880882e-07,4.280462713952045e-05,4.280462713952045e-05,0.0005770276509912904,0.000614511039427419,0.0006071498974681592,0.011841338465353804,0.0018258082619598446,0.011594595909532624,0.011707002118992577,0.011841338465353804
150,0.05,6,0.09293250618273476,0.0929310195673409,3.0502755999627937e-07,3.052262391566445e-07,8.763615946966623e-07,4.143296435340769e-05,4.143296435340769e-05,0.0005258493200698769,0.0005433742864717392,0.000495238178968122,0.011401224406594726,0.0016805250712527405,0.011079529843163287,0.011285270204104754,0.011401224406594726
156,0.060000000000000005,6,0.09832668124629776,0.09832513327412797,3.02817056469254e-07,3.030876491359124e-07,9.420674641930932e-07,3.796643947910206e-05,3.796643947910206e-05,0.0005227326337072732,0.0005173961415682474,0.0004200904466685854,0.011025863365112822,0.0016266730964684857,0.010609424022953734,0.011025863365112822,0.010722829445815924
177,0.07,21,0.09767945250095841,0.0976785890410414,2.563933904565593e-07,2.574810079076596e-07,3.4958551864905106e-07,4.790347187182207e-05,4.790347187182207e-05,0.0007651616827911425,0.0007498212540679183,0.0005231821913258346,0.014620689478455724,0.0016059685539311797,0.012606255734386515,0.012021082303457714,0.014620689478455724
186,0.08,9,0.0968908812227216,0.09688996478255957,2.628782155263624e-07,2.639271128420766e-07,3.896348336574621e-07,4.41878000271338e-05,4.41878000271338e-05,0.0006591713294209975,0.0006988992858167586,0.0004220964941618859,0.012622530108919386,0.001417183907420753,0.011666164775710548,0.010713911647720694,0.012622530108919386
192,0.09,6,0.097721590314754,0.09772033526933593,2.644572657953365e-07,2.655148953435979e-07,7.250732569157495e-07,3.791198078203158e-05,3.791198078203158e-05,0.0005906972390658058,0.0006179936183085346,0.00039643476713735395,0.012218044520000255,0.0012914895722084259,0.011292325657165172,0.010538438583487002,0.012218044520000255
203,0.09999999999999999,11,0.0981601806624439,0.09815937911120569,2.1140382464155586e-07,2.1155627801171724e-07,3.7859113557103604e-07,4.090471253215359e-05,4.090471253215359e-05,0.0005925269670427287,0.000593860833692435,0.00047589032005719014,0.013327576776245022,0.001436094673411248,0.010720106417068885,0.010744939692831306,0.013327576776245022
215,0.10999999999999999,12,0.09790816253942888,0.09790733283844798,2.299355642720871e-07,2.3047596070122027e-07,3.692894559270393e-07,4.520534914412358e-05,4.520534914412358e-05,0.0005521468939111352,0.0005663975439349802,0.0005010615661068563,0.01384940004303792,0.0013857252717638985,0.011394753206120632,0.010613377666138459,0.01384940004303792
223,0.11999999999999998,8,0.09878579338442495,0.0987848404860264,2.572646932110813e-07,2.587820270443948e-07,4.3685167828537424e-07,4.1139654633352036e-05,4.1139654633352036e-05,0.000467509641770769,0.00048572026436595705,0.0004252558367112002,0.012567013644060755,0.0012794373860974108,0.010761155154834922,0.010122809968070728,0.012567013644060755
235,0.12999999999999998,12,0.09715787993563374,0.09715698827632067,2.591107122642348e-07,2.609939528991799e-07,3.7155464790409346e-07,4.481750832998829e-05,4.481750832998829e-05,0.0004370281788093608,0.000470516343193451,0.0004582356915906757,0.013318988060289881,0.0013099437159743903,0.01098108955742025,0.01075166614149533,0.013318988060289881
241,0.13999999999999999,6,0.0958440069467166,0.09584188985378604,7.436492331659052e-07,7.513664150373519e-07,6.220772823618262e-07,4.084250770663e-05,4.084250770663e-05,0.0003915392162094928,0.0004281583256166709,0.00043037685032300206,0.012313671904562788,0.0012303045374410964,0.010629203490341813,0.010554237180061996,0.012313671904562788
247,0.15,6,0.09488367235780444,0.0948814213072465,8.354462223812079e-07,8.415922443856804e-07,5.74012091172989e-07,3.72052158611292e-05,3.72052158611292e-05,0.0003568124166506572,0.00040212806422567753,0.0004042117117743008,0.01221309261729253,0.0011555070927014867,0.010020631516306814,0.009911210513967724,0.01221309261729253
