pseudo-steps, tcurr,n,res,res_p,res_u,res_v,res_w,min,min_p,min_u,min_v,min_w,max,max_p,max_u,max_v,max_w
17,0.01,17,0.03915696504451161,0.03915313514060035,1.4857462173511873e-06,1.4855788425921024e-06,8.585788513125392e-07,0.00013032840360689352,0.00013032840360689352,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042,0.0003934444404265042
28,0.02,11,0.07899648947761409,0.07899281393214246,1.4310353705120879e-06,1.4306584756436747e-06,8.138516254742385e-07,7.803763462731249e-05,7.803763462731249e-05,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562,0.0006095703849678562
138,0.03,110,0.09927901765568774,0.09927663353270508,8.04599276652836e-07,8.056364227259834e-07,7.73887283282147e-07,4.07965319277757e-05,4.07965319277757e-05,0.0007298763643721358,0.000706182208919685,0.0007714942726201762,0.014289984844467696,0.0021876794332011374,0.014227260977370997,0.014166297390916913,0.014289984844467696
145,0.04,7,0.09427104182889816,0.09426969333315428,4.1686534409169576e-07,4.212815943258947e-07,5.10348805445709e-07,4.373931905050374e-05,4.373931905050374e-05,0.0006056320550668733,0.0006127795360148125,0.0006105357577379129,0.012112881031578404,0.0016798356131433885,0.0116036599869913,0.01160504416608014,0.012112881031578404
151,0.05,6,0.09219970598857774,0.09219821838131717,2.942708329874741e-07,2.952863601616761e-07,8.980500674273021e-07,4.0116936661462246e-05,4.0116936661462246e-05,0.0005324575322407345,0.0005613776628337673,0.0004823391655824182,0.011480092424627322,0.0013869845518255457,0.010998005071029684,0.010452696227678419,0.011480092424627322
158,0.060000000000000005,7,0.09692443038117174,0.09692321006329588,2.500237267791836e-07,2.5042913448305604e-07,7.198650145962052e-07,3.8469786763857806e-05,3.8469786763857806e-05,0.0005331852592136506,0.0005349304182044364,0.00041913449376344386,0.011250975832071188,0.0012735949215814245,0.010258200185292693,0.010331820249943755,0.011250975832071188
179,0.07,21,0.09712259558491676,0.09712150633426146,3.2949684092924036e-07,3.2960835191434004e-07,4.3014546246231177e-07,4.1713504598292145e-05,4.1713504598292145e-05,0.0006699039484315079,0.0007226742132071786,0.0005918639650671862,0.013937300224390495,0.0016142750691757611,0.012606539038991995,0.012759762050944158,0.013937300224390495
187,0.08,8,0.09737817361844975,0.09737718034621486,2.7266348424984597e-07,2.736065051725331e-07,4.4700224546851643e-07,4.556685572715664e-05,4.556685572715664e-05,0.0006174806810618503,0.0006636566652507728,0.00044524586874857377,0.012405262340448612,0.0013293564071624711,0.010762154699251085,0.010948969080773894,0.012405262340448612
194,0.09,7,0.09801365134143111,0.09801257327371724,2.3804893467590232e-07,2.3809464777043126e-07,6.019241314280045e-07,4.239887825199819e-05,4.239887825199819e-05,0.0005190298903018683,0.0005602534072446793,0.0003857129242186492,0.01188032647444463,0.0012128196238371635,0.010779695333439534,0.0105238486250194,0.01188032647444463
206,0.09999999999999999,12,0.09780796535333927,0.09780710345986787,2.2730296646030588e-07,2.2681765632258764e-07,4.077728486157978e-07,4.515410919484747e-05,4.515410919484747e-05,0.0005907138380167564,0.0005805475602409905,0.0004370536507797542,0.013257821398376796,0.0012618577483328782,0.011287091711004707,0.010972531583918957,0.013257821398376796
217,0.10999999999999999,11,0.09823894447920847,0.09823807227727367,2.3423567366879007e-07,2.3445129647551376e-07,4.035149646665464e-07,4.544553891721156e-05,4.544553891721156e-05,0.0005511289969929603,0.0005150696295367852,0.00042559328606187833,0.01353463782818997,0.0013893511588551424,0.010434033536558796,0.010848529194371063,0.01353463782818997
227,0.11999999999999998,10,0.09824916290440194,0.0982482948963024,2.3424757109395038e-07,2.346391584319067e-07,3.9912137002520424e-07,4.4849696301901436e-05,4.4849696301901436e-05,0.0004664666785982165,0.00047303744507361625,0.00041138419531574485,0.012878403524148718,0.001324464290035046,0.010642771323214418,0.010606071752005565,0.012878403524148718
235,0.12999999999999998,8,0.09828697708486765,0.09828588172500217,3.31687623487024e-07,3.331949615864106e-07,4.3047728040073564e-07,4.134204998734865e-05,4.134204998734865e-05,0.0004082293275412385,0.0004014714919435854,0.00037796500260669927,0.012570571894072426,0.0012305105435955629,0.010502444925764466,0.010466229243428105,0.012570571894072426
242,0.13999999999999999,7,0.09837090674842912,0.098369276495117,5.583366714675225e-07,5.620234397554128e-07,5.098932009042158e-07,3.6612074985820844e-05,3.6612074985820844e-05,0.0003644716831044215,0.0003566881028675495,0.00035381108558959617,0.012285717397623143,0.0010898811905341056,0.010441045463800648,0.010542194536094802,0.012285717397623143
248,0.15,6,0.09803928133396024,0.09803691069402119,8.501347281782508e-07,8.574090367826068e-07,6.630961740822359e-07,3.3364839110512297e-05,3.3364839110512297e-05,0.00034231330707107225,0.000337882147343924,0.0003323008299437122,0.011900877695243433,0.0010466764712499393,0.010415846545284572,0.01061920041778412,0.011900877695243433
254,0.16,6,0.09606010746889901,0.09605779515804008,8.443699939074343e-07,8.524396897623518e-07,6.155011752461032e-07,3.229567179775054e-05,3.229567179775054e-05,0.0003311488015028596,0.00031734030548660443,0.0003216523390517697,0.01187215554779642,0.0010131360047009894,0.009861526652850856,0.009973596803186319,0.01187215554779642
260,0.17,6,0.09167669173469244,0.09167439029039581,8.557809030347386e-07,8.657579568849959e-07,5.799054367191e-07,3.276189357936845e-05,3.276189357936845e-05,0.0003204596982998902,0.00030918614345451154,0.0003283493924110305,0.011895242835401944,0.001035294537096736,0.009637496739928211,0.010095667104820337,0.011895242835401944
266,0.18000000000000002,6,0.08509901251782408,0.08509662079388959,9.079155285117767e-07,9.2058980428609e-07,5.632186016908823e-07,3.284331673381421e-05,3.284331673381421e-05,0.00030532907970215304,0.0002903889003529035,0.0003415440105140179,0.011732979882035177,0.001032795907742914,0.009614237144335947,0.009791001685978228,0.011732979882035177
272,0.19000000000000003,6,0.07779303158056124,0.07779047644191331,9.854031218835779e-07,9.989562314049243e-07,5.707792946547679e-07,3.230029162479353e-05,3.230029162479353e-05,0.00029554489130634233,0.00028292576428593175,0.0003321648640640413,0.011779859906559605,0.0010586597899014843,0.00947022190397,0.009767371614207048,0.011779859906559605
278,0.20000000000000004,6,0.07263854561743127,0.07263579532393705,1.068323806146427e-06,1.0816435177780302e-06,6.003261702978831e-07,3.222233655606783e-05,3.222233655606783e-05,0.00029466326382528813,0.000273205067171703,0.0003179499439626348,0.011791500168172049,0.0011279443092826115,0.009949047248977622,0.010027581625897727,0.011791500168172049
284,0.21000000000000005,6,0.07282008073425394,0.07281714295831379,1.14265639014084e-06,1.1552788307509464e-06,6.398407192490065e-07,3.2144569627833586e-05,3.2144569627833586e-05,0.00028490611181835007,0.0002644502841339862,0.00030776132335957093,0.012247294288687876,0.0011596676482474929,0.01054199183768155,0.010625206716428281,0.012247294288687876
290,0.22000000000000006,6,0.07936685784806992,0.07936376377161068,1.201320999622383e-06,1.2124098390168645e-06,6.80345620597992e-07,3.2066990386023525e-05,3.2066990386023525e-05,0.00027577637194598696,0.0002571677663828472,0.00029862106930139627,0.011522862666278656,0.0011568688508784705,0.0105165492903585,0.011258449143436976,0.011522862666278656
296,0.23000000000000007,6,0.09014705363763792,0.0901438476946611,1.2399795615006092e-06,1.2493961306967013e-06,7.165672846197746e-07,3.198959837766624e-05,3.198959837766624e-05,0.00027301403625397256,0.0002565471053951605,0.0002890518372981638,0.012583367086034298,0.0010833817561801933,0.01080557369473107,0.01089767516287968,0.012583367086034298
