pseudo-steps, tcurr,n,res,res_p,res_u,res_v,res_w,min,min_p,min_u,min_v,min_w,max,max_p,max_u,max_v,max_w
12,0.01,12,0.04264020351841344,0.03797999314045663,0.0019418896461768603,0.0019420133946085453,0.0007763073371714075,0.00014285086970412578,0.00014285086970412578,0.0003224452155364929,0.0003224452155364929,0.0003224452155364929,0.0003224452155364929,0.0003224452155364929,0.0003224452155364929,0.0003224452155364929,0.0003224452155364929
21,0.02,9,0.07823883255096366,0.0759273791018829,0.0008795721571529395,0.0008801323253125825,0.0005517489666152335,9.412641308717526e-05,9.412641308717526e-05,0.0004476412453781304,0.0004476412453781304,0.0004476412453781304,0.0004613445488080732,0.0004613445488080732,0.0004613445488080732,0.0004613445488080732,0.0004613445488080732
182,0.03,161,0.10849930132340335,0.10788328744189526,0.00020551669967605344,0.0002054650936703249,0.00020503208816170123,4.278689775603177e-05,4.278689775603177e-05,0.0003406850770753586,0.0003302766343295888,0.0003863189374089787,0.01679880506736433,0.004265969802762579,0.01679880506736433,0.01536259203374092,0.016704451253999324
201,0.04,19,0.10205075640535617,0.09739284364463381,0.0013395460979654741,0.001346241696297721,0.001972124966459157,3.4124778071352506e-05,3.4124778071352506e-05,0.0003374314548937545,0.00034720864048166423,0.0003409694083221826,0.012434276395939567,0.0031890751341699677,0.00948164344187887,0.009435929098432399,0.012434276395939567
216,0.05,15,0.10112613239931957,0.09991675399024652,0.0004119582567680412,0.00041213860021964974,0.00038528155208537157,4.091902495675364e-05,4.091902495675364e-05,0.00031607436003929814,0.00032435386334210434,0.00031716385739546346,0.010372380866571844,0.002381731771189848,0.007871372590280114,0.007848934171504817,0.010372380866571844
277,0.060000000000000005,61,0.10028865153397637,0.09960991590108241,0.00022146811012456724,0.00022156430715407937,0.0002357032156153172,4.236518873686561e-05,4.236518873686561e-05,0.0003413281061457612,0.0003485729517389281,0.00031601324312529976,0.013689879603585137,0.002671515596172513,0.011845933553042523,0.012590951407373383,0.013689879603585137
306,0.07,29,0.10050794406273135,0.09963941629311679,0.0002868922152772898,0.00028716057511134587,0.0002944749792259291,3.8031382835174514e-05,3.8031382835174514e-05,0.000382043647080905,0.000374362673363098,0.00032727616232326625,0.014429833877985342,0.002268829455603296,0.008803519001779883,0.008837131478815182,0.014429833877985342
364,0.08,58,0.10052483356424174,0.09986719171255366,0.00021427043952238647,0.00021573951653511514,0.00022763189563057012,4.2123866608170116e-05,4.2123866608170116e-05,0.0003549171672152391,0.0003511753405271432,0.00032159637418933805,0.016274467593828543,0.00327075394599581,0.010968243988553634,0.010769258805819021,0.016274467593828543
384,0.09,20,0.10082310060468723,0.0997002346599117,0.0003747939353652966,0.00037520562287747885,0.0003728663865327653,3.743319938875441e-05,3.743319938875441e-05,0.0003541547755427958,0.0003272201372083061,0.00035025907062344433,0.013122465067396082,0.002236872091877472,0.009169111077080518,0.008500043060930565,0.013122465067396082
408,0.09999999999999999,24,0.10067233023109051,0.09973528000007208,0.00031298957137658326,0.0003124831380386268,0.0003115775216032293,3.78843016588618e-05,3.78843016588618e-05,0.0003113825115230746,0.0003155325344992306,0.0002968181818725804,0.013909574471874818,0.002277479229804575,0.010132073986829438,0.009647209249375503,0.013909574471874818
